ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,member_casual
F9CF8769D9CEC98E,classic_bike,2023-06-24 22:09:41,2023-06-24 22:11:49,8 Ave & W 24 St,6224.06,W 25 St & 9 Ave,6339.06,member
5D4FD7FB80C4D6F2,classic_bike,2023-06-25 14:08:11,2023-06-25 14:23:25,Leonard St & Boerum St,5036.06,Malcolm X Blvd & DeKalb Ave,4648.03,casual
813A0F140C68FC56,classic_bike,2023-06-27 08:32:51,2023-06-27 09:01:28,Forsyth St & Grand St,5382.07,Graham Ave & Conselyea St,5291.05,casual
95EA96CA93206303,classic_bike,2023-06-12 17:06:00,2023-06-12 17:55:56,49 St & 31 Ave,6662.01,31 Ave & Steinway St,6782.01,member
75A43E659716AA81,classic_bike,2023-06-03 13:37:36,2023-06-03 13:46:05,FDR Drive & E 35 St,6230.04,E 45 St & 3 Ave,6464.08,member
CF2953615AC63AFB,classic_bike,2023-06-01 17:39:14,2023-06-01 18:12:51,E 20 St & 2 Ave,5971.08,Dock St & Front St,4903.09,member
46727DE1D305265D,classic_bike,2023-06-04 15:31:24,2023-06-04 16:22:58,Flatbush Ave & Ocean Ave,3704.04,Dock St & Front St,4903.09,casual
F8AB8903DE630FC8,classic_bike,2023-06-01 17:40:32,2023-06-01 17:54:07,FDR Drive & E 35 St,6230.04,W 20 St & 10 Ave,6306.01,member
0993518F74161CAF,classic_bike,2023-06-11 06:02:34,2023-06-11 06:05:07,Forsyth St & Grand St,5382.07,Lafayette St & Grand St,5422.09,member
5E44B5C456F91364,classic_bike,2023-06-05 13:06:13,2023-06-05 13:28:32,E 40 St & 5 Ave,6474.11,5 Ave & E 63 St,6904.06,member
1AEB5EB14EDB4DC7,classic_bike,2023-06-05 15:30:07,2023-06-05 15:39:38,Flatbush Ave & Ocean Ave,3704.04,Grand Army Plaza & Plaza St West,4010.15,casual
C149E2CCC2AAE36B,classic_bike,2023-06-29 10:16:04,2023-06-29 10:27:19,W 27 St & 6 Ave,6215.07,W 20 St & 10 Ave,6306.01,casual
2ACC81F200FEB655,classic_bike,2023-06-29 12:52:27,2023-06-29 13:24:41,FDR Drive & E 35 St,6230.04,5 Ave & E 63 St,6904.06,casual
0DC56A0CDFD251FB,classic_bike,2023-06-27 16:15:31,2023-06-27 16:21:27,Flatbush Ave & Ocean Ave,3704.04,3 St & 7 Ave,3905.15,casual
EF566D92DB6ABC54,classic_bike,2023-06-10 17:22:38,2023-06-10 17:43:29,E 12 St & 3 Ave,5788.12,Warren St & Smith St,4371.01,member
346FC7D498C725BF,classic_bike,2023-06-26 08:15:48,2023-06-26 08:24:45,E 20 St & 2 Ave,5971.08,Stanton St & Norfolk St,5445.07,member
